index,team.name,abbreviation,city,state,zip,type,lat,long,region
4,Anteater Quidditch,anteaters,Irvine ,CA,92697-5125,College,33.6508,-117.826,WE
7,Arizona Jackalopes,jackalopes,chandler,AZ,85224,Adult Community,33.3301,-111.863,WE
8,Arizona Quidditch Club,azqc,Phoenix,AZ,85012,Adult Community,33.5097,-112.068,WE
9,Arizona State University,arizona-state,Tempe,AZ,85281,College,33.4227,-111.926,WE
27,Cal Quidditch,cal,Berkeley,CA,94704,College,37.8664,-122.257,WE
28,California Dobbys,ca-dobbys,Oakland,CA,94611,Adult Community,37.8282,-122.227,WE
46,Crimson Elite,crimson-elite-1,Salt Lake City,UT,84103,Adult Community,40.7776,-111.875,WE
47,Crimson Fliers,fliers,Salt Lake City,UT,84108,Adult Community,40.7371,-111.826,WE
103,La Serna High School,la-serna,Whittier,CA,90605,High School,33.9413,-118.036,WE
110,Los Angeles Gambits,la-gambits,Torrance,CA,90717,Adult Community,33.7933,-118.317,WE
127,Mission Blues Quidditch,mission-blues,Redwood City,CA,94061,Adult Community,37.4647,-122.23,WE
141,Northern Arizona University Narwhals,narwhals,Flagstaff,AZ,86001,College,35.1859,-111.662,WE
152,Pacific Phoenix Quidditch Club,pacific-phoenix,Stockton,CA,95211,College,37.9804,-121.31,WE
158,Provo Quidditch,provo,Provo,UT,84606,Adult Community,40.2347,-111.645,WE
177,Riverside Quidditch,riverside,Moreno Valley,CA,92553,Adult Community,33.9157,-117.235,WE
183,San Jose State University Spartans,sjsu,San Jose,CA,95112,College,37.3414,-121.88,WE
185,Santa Barbara Blacktips,blacktips-1,Goleta,CA,93117,Adult Community,34.4296,-119.861,WE
188,Silicon Valley Skrewts,skrewts-1,San Francisco,CA,94122,Adult Community,37.7593,-122.484,WE
189,Silicon Valley Skyfighters,skyfighters,Newark,CA,94560,Adult Community,37.5368,-122.032,WE
190,Silicon Valley Vipers,vipers,Mountain View,CA,94041,Adult Community,37.3893,-122.078,WE
191,Sin City Quid Pro Quo,quid-pro-quo,North Las Vegas,NV,89081,Adult Community,36.2621,-115.113,WE
194,South Bay Blazers,the-blazers-1,San Jose ,CA,95112,Adult Community,37.3414,-121.88,WE
198,Stanford Quidditch,stanford,Stanford,CA,94309,College,37.4242,-122.165,WE
202,Sun Devil Quidditch,sun-devils,Tempe,AZ,85281,College,33.4227,-111.926,WE
217,The Fighting Farmers of America,farmers,Long Beach,CA,90808,Adult Community,33.8241,-118.11,WE
218,The Fighting Farmers of Arizona,farmers-2,Scottsdale,AZ,85254,Adult Community,33.6165,-111.955,WE
