team_name,abbreviation,city,state,zip,type,lat,long,region
 Carnegie Mellon Quidditch Club,carnegie-mellon,Pittsburgh,PA,15289,University,40.4406,-79.9961,2
 California Dobbys,ca-dobbys,South Gate,CA,90280,Adult Community,33.9462,-118.201,4
 Cal Quidditch,cal,Berkeley,CA,94704,University,37.8664,-122.257,4
 British Columbia Quidditch Club,british-columbia,Vancouver,WA,V6S 1E9,University,49.255,-123.187,12
 Brandeis Quidditch,brandeis,Waltham,MA,02454,University,42.3888,-71.2426,1
 Bowling Green State University,bg-quidditch,Bowling Green,OH,43402,University,41.3815,-83.6507,13
 Boston University Quidditch,bu,Boston,MA,02215,University,42.3471,-71.1027,1
 Boise State Thestrals,thestrals-1,Boise,ID,83725,University,43.605,-116.205,12
 Boise State Abraxans,abraxans,Boise,ID,83725,University,43.605,-116.205,12
 Boggarts Quidditch Club at Colorado State University,boggarts-quidditch-club-at-csu,Fort Collins,CO,80524,University,40.5986,-105.058,3
 Big Sky Flyers Quidditch,big-sky-flyers,Bozeman,MT,59715,University,45.6693,-111.043,12
 Baylor University,the-bears,Waco,TX,76798,University,31.5446,-97.1192,6
 Ball State Cardinals,ball-state,Muncie,IN,47306,University,40.1927,-85.4102,13
 Austin Quidditch,austin-quidditch-1,Austin,TX,78712-1401,Adult Community,30.2858,-97.7349,6
 Arkansas State RedWolf Quidditch,redwolf-quidditch,State University,AR,72467,University,35.9149,-90.4542,6
 Arizona State University,arizona-state,Tempe,AZ,85281,University,33.4227,-111.926,4
 Appalachian Apparators Quidditch,the-apparators,Boone,NC,28608,Community,36.2167,-81.6747,2
 Anteater Quidditch,anteaters,Irvine ,CA,92697-5125,University,33.6508,-117.826,4
 Alfred University Saxons,alfred-saxons,Alfred,NY,14802,University,42.2552,-77.793,4
